MaCoPhieu,SanChungKhoan,LoiNhuanRong_2021,LoiNhuanRong_2020,KeHoach,PhanTram_KeHoach,EPS,PE
VND,HOSE,2382.923585,692.77,880,271,7683,10
DGC,HOSE,2388.150971,906.67,1100,217,14628,12.1
HPG,HOSE,34478.1432,13450.3,18000,192,8636,5.8
VCS,HNX,1772.059864,1428.42,1439.25,123,11262,9.4
HDG,HOSE,1090.016437,979.14,1254,87,6836,10.6
VCB,HOSE,21908.052,18451.31,37500,58,5907,14.4
REE,HOSE,1854.65314,1628.08,1768.9,105,6001,12.5
VHM,HOSE,39016.681,27351.28,35000,111,10845,7.2
DBC,HOSE,829.557934,1400.3,827,100,7503,10.4
VHC,HOSE,1101.225562,719.31,700,157,6052,13.3
TCB,HOSE,18037.685,12324.99,29700,61,5144,9.7
DPM,HOSE,3116.702431,691.31,365,854,7964,7.6
VCI,HOSE,1498.718375,768.91,937.5,160,5860,10.8
SHS,HNX,1396.285501,754.31,563.4,248,6100,7.3
